=== Модели, отсутствующие в JSON (но есть в Excel) ===
                                    Модель Источник
              Вермонт СН-151 В хром/ХДП/МБ    Excel
                   Верона К-10 В дерево/МБ    Excel
         Кресло UTFC Бремен М-123 алюминий    Excel
     Кресло UTFC Канзас М-111 пластик/хром    Excel
    Кресло UTFC Онтарио М-105 пластик/хром    Excel
Кресло UTFC Онтарио М-405 Н/п пластик/хром    Excel
                       Престиж Нептун хром    Excel
                  Самба Люкс GTP TG/столик    Excel
                  Самба GTP пиастра/столик    Excel
                       Самба GTP TG/столик    Excel
                    СН-710 Айкью Н пластик    Excel
                          СН-710 Айкью Н/п    Excel
                          Стул кассира Б/п    Excel
                        Честер GTS TG хром    Excel
               Энжел Лайт СН-800 черный TG    Excel
            Энжел СН-800 чёрный Н/п Нео СН    Excel

=== Модели, отсутствующие в Excel (но есть в JSON) ===
                                     Модель Источник
                       Дэли ch-503 white ch     JSON
                                      Тоник     JSON
                                 Epik е-277     JSON
                              Астек пвм б/п     JSON
                        Комфорт б/п пластик     JSON
                          Логика tg пластик     JSON
                                Престиж cpt     JSON
                               Престиж люкс     JSON
                                Престиж пвм     JSON
                   Самба люкс gtp tg столик     JSON
                   Сириус с-102 нептун хром     JSON
                 Сириус с-102 рондо пластик     JSON
                 Сириус с-102 самба пластик     JSON
                     Фигаро gts к13 tg/хром     JSON
                Фигаро gts к13 пиастра/хром     JSON
                           Айкью сн-710 н_п     JSON
                     Айкью сн-710 н пластик     JSON
                Аляска сн-153 в хром/хдп/мб     JSON
                  Аризона сн-400 в хром/хдп     JSON
   Аризона сн-400 бюджет в пластик-люкс 727     JSON
                      Бремен м-123 алюминий     JSON
               Вермонт сн-151 в хром хдп мб     JSON
                     Гелакси к-49 в хром/мб     JSON
                        Гелакси к-49 в хром     JSON
                           Гермес в пластик     JSON
                              Гермес в хром     JSON
                Дакота сн-251 в пластик 727     JSON
           Дакота сн-251 в пластик-люкс 727     JSON
                       Кайман в топ-ган lux     JSON
Калифорния сн-438 в бюджет пластик-люкс 727     JSON
                   Калифорния в cн-438 хром     JSON
                  Канзас м-111 пластик/хром     JSON
                        Кендо к-41 в дерево     JSON
                       Кендо к-41 в пластик     JSON
                          Кендо к-41 в хром     JSON
                             Надир в дерево     JSON
                   Надир в пластик-люкс 727     JSON
                            Надир в пластик     JSON
                               Надир в хром     JSON
                 Онтарио м-105 пластик/хром     JSON
             Онтарио м-405 н/п пластик/хром     JSON
                                 Ройс м-704     JSON
                    Эфир с-30 в пластик 727     JSON
                              Палермо м-702     JSON
                                      Изо-2     JSON
                                      Изо-3     JSON
                                    Клуб 4l     JSON
                                    Клуб 4к     JSON
                                   Клуб gts     JSON
                                       Клуб     JSON
                        Фигаро к13 н/п хром     JSON
                                  Шелл софт     JSON

=== Несовпадения параметров (требуют исправления) ===
                                     Модель                 Параметр               JSON          Excel Нужно исправить?
                        Альт М-811 BLACK PL            typeofproduct                  -             КП               Да
                        Альт М-811 BLACK PL         recommended_load       min=-, max=- min=-, max=120               Да
                        Альт М-811 BLACK PL                 max_load       min=-, max=- min=-, max=150               Да
                        Альт М-811 BLACK PL            package_width                624              -               Да
                        Альт М-811 BLACK PL            package_depth                322              -               Да
                        Альт М-811 BLACK PL           package_height                665              -               Да
                        Альт М-811 BLACK PL                   brutto               12,8              -               Да
                        Альт М-811 BLACK PL                   volume               0,13              -               Да
 Астон М-711 с подголовником белый пластик             package_width                  -              -               Да
 Астон М-711 с подголовником белый пластик               minpromtorg                  -              -               Да
 Астон М-711 с подголовником белый пластик                    volume                  -              -               Да
 Астон М-711 с подголовником белый пластик                  skeleton                  -   немонолитный               Да
 Астон М-711 с подголовником белый пластик            package_height                  -              -               Да
 Астон М-711 с подголовником белый пластик                     netto                  -          13.15               Да
 Астон М-711 с подголовником белый пластик             package_depth                  -              -               Да
 Астон М-711 с подголовником белый пластик                    brutto                  -           15.6               Да
 Астон М-711 с подголовником белый пластик             typeofproduct                  -              К               Да
 Астон М-711 с подголовником белый пластик          recommended_load       min=-, max=-  min=-, max=90               Да
 Астон М-711 с подголовником белый пластик                  max_load       min=-, max=- min=-, max=120               Да
 Астон М-711 с подголовником белый пластик             package_width                630           15.6               Да
 Астон М-711 с подголовником белый пластик             package_depth                380              -               Да
 Астон М-711 с подголовником белый пластик            package_height                720              -               Да
 Астон М-711 с подголовником белый пластик                    volume               0,17              -               Да
 Астон М-711 с подголовником черный пластик            package_width                  -              -               Да
 Астон М-711 с подголовником черный пластик              minpromtorg                  -              -               Да
 Астон М-711 с подголовником черный пластик                   volume                  -              -               Да
 Астон М-711 с подголовником черный пластик                 skeleton                  -   немонолитный               Да
 Астон М-711 с подголовником черный пластик           package_height                  -              -               Да
 Астон М-711 с подголовником черный пластик                    netto                  -           13.4               Да
 Астон М-711 с подголовником черный пластик            package_depth                  -              -               Да
 Астон М-711 с подголовником черный пластик                   brutto                  -          15.85               Да
 Астон М-711 с подголовником черный пластик            typeofproduct                  -              К               Да
 Астон М-711 с подголовником черный пластик         recommended_load       min=-, max=-  min=-, max=90               Да
 Астон М-711 с подголовником черный пластик                 max_load       min=-, max=- min=-, max=120               Да
 Астон М-711 с подголовником черный пластик            package_width                630          15.85               Да
 Астон М-711 с подголовником черный пластик            package_depth                380              -               Да
 Астон М-711 с подголовником черный пластик           package_height                720              -               Да
 Астон М-711 с подголовником черный пластик                   volume               0,17              -               Да
                        Аэро М-808 BLACK PL            package_width                  -              -               Да
                        Аэро М-808 BLACK PL              minpromtorg                  -              +               Да
                        Аэро М-808 BLACK PL                   volume                  -              -               Да
                        Аэро М-808 BLACK PL                 skeleton                  -   немонолитный               Да
                        Аэро М-808 BLACK PL           package_height                  -              -               Да
