fullname,category,article_number,images,Footing,Armrests,Gas_lift,Mechanism,Features,Rollers,Specifications,Extras,Metadata,Link_arm
Кресло К-10 Верона Н/п дерево D8 (темный орех) S-0422 (темно-серый),,verona_np_der,https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/da4/o5kw3zdm3xnbqrfpkz2vauyg519kv5gk.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/eca/915pk1fnz9l0fkoj20ghtcz4zfa63lgm.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/412/6e8c5c2pu2x2myea3bo5f2s6ql9jqs56.webp; https://utfc.ru/upload/resize_cache/iblock/eca/140_140_0/915pk1fnz9l0fkoj20ghtcz4zfa63lgm.png; https://utfc.ru/upload/resize_cache/iblock/2bd/140_140_0/dfy1jykun1qlwrtighidjy2fs3xnrn7n.png; https://utfc.ru/upload/resize_cache/iblock/da4/140_140_0/o5kw3zdm3xnbqrfpkz2vauyg519kv5gk.png; https://utfc.ru/upload/resize_cache/iblock/563/140_140_0/0yuw9bw5bfl92yx0ky9a8jrqj2le9vu0.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/563/0yuw9bw5bfl92yx0ky9a8jrqj2le9vu0.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/2bd/dfy1jykun1qlwrtighidjy2fs3xnrn7n.webp; https://utfc.ru/upload/resize_cache/iblock/412/140_140_0/6e8c5c2pu2x2myea3bo5f2s6ql9jqs56.png,,,,,,,"{""Размер:"": {""Ширина:"": ""620 мм"", ""Высота:"": ""970 мм"", ""Глубина:"": ""720 мм"", ""Нагрузка:"": ""до 120 кг"", ""Каркас:"": ""Монолитный"", ""Ширина упаковки:"": ""900 мм"", ""Высота упаковки:"": ""676 мм"", ""Глубина упаковки:"": ""490 мм"", ""Вес брутто:"": ""20,5 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,3 м.куб""}, ""Размер упаковки:"": {""Ширина упаковки:"": ""900 мм"", ""Высота упаковки:"": ""676 мм"", ""Глубина упаковки:"": ""490 мм"", ""Вес брутто:"": ""20,5 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,3 м.куб""}}",,"{""Price"": """", ""Availability"": ""OutOfStock""}",https://utfc.ru/catalog/boss_chairs/verona_np_der/
,,,,,,,,,,,,,https://utfc.ru/catalog/
Кресло СН-710 Айкью Н/п CH S-0422 (темно-серый),,ch710_iq_np_ch,https://utfc.ru/upload/resize_cache/iblock/589/140_140_0/mxkb2jhy1rttssgyrk2gls17xfk380ag.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/f80/zg2iom95yi5ljmfalhf0brgmcf3elgz8.webp; https://utfc.ru/upload/resize_cache/iblock/b3a/140_140_0/8cwu0vwwu8eincmwtjeazjbgdxmm7zk7.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/b3a/8cwu0vwwu8eincmwtjeazjbgdxmm7zk7.webp; https://utfc.ru/upload/resize_cache/iblock/f80/140_140_0/zg2iom95yi5ljmfalhf0brgmcf3elgz8.png; https://utfc.ru/upload/resize_cache/iblock/5af/140_140_0/qrsbxfxi4lwj1ytfpdoz6spj3pdemqoa.png; https://utfc.ru/upload/resize_cache/iblock/a06/140_140_0/rtf64irspbygiressofyzont5ywbukts.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/a06/rtf64irspbygiressofyzont5ywbukts.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/5af/qrsbxfxi4lwj1ytfpdoz6spj3pdemqoa.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/589/mxkb2jhy1rttssgyrk2gls17xfk380ag.webp,,,,,,,"{""Размер:"": {""Ширина:"": ""630 мм"", ""Высота:"": ""950 мм"", ""Глубина:"": ""620 мм"", ""Нагрузка:"": ""до 150 кг"", ""Каркас:"": ""Немонолитный"", ""Ширина упаковки:"": ""620 мм"", ""Высота упаковки:"": ""590 мм"", ""Глубина упаковки:"": ""280 мм"", ""Вес брутто:"": ""13,5 кг"", ""Материал упаковки:"": ""Гофрокартон, полиэтилен"", ""Объём:"": ""0,11 м.куб""}, ""Размер упаковки:"": {""Ширина упаковки:"": ""620 мм"", ""Высота упаковки:"": ""590 мм"", ""Глубина упаковки:"": ""280 мм"", ""Вес брутто:"": ""13,5 кг"", ""Материал упаковки:"": ""Гофрокартон, полиэтилен"", ""Объём:"": ""0,11 м.куб""}}",,"{""Price"": """", ""Availability"": ""OutOfStock""}",https://utfc.ru/catalog/boss_chairs/ch710_iq_np_ch/
Кресло М-704 Ройс/Royce silver PL S-0401 (черный),,roys_m_704,https://utfc.ru/upload/resize_cache/iblock/bc0/140_140_0/bc0d587244a4e554437f4ff2b695891f.png; https://utfc.ru/upload/resize_cache/iblock/9fd/140_140_0/9fd96d5e2b92a82e92ae75db6c4f4a7b.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/9f5/9f5d68f7fb9114c366ae2c397b5333fc.webp; https://utfc.ru/upload/resize_cache/iblock/020/140_140_0/02083de92db3c55b2ed45b63d9c988e2.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/8ac/8ac7015a945b12227ed5e8bdb72caec4.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/020/02083de92db3c55b2ed45b63d9c988e2.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/bc0/bc0d587244a4e554437f4ff2b695891f.webp; https://utfc.ru/upload/resize_cache/iblock/8ac/140_140_0/8ac7015a945b12227ed5e8bdb72caec4.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/9fd/9fd96d5e2b92a82e92ae75db6c4f4a7b.webp; https://utfc.ru/upload/resize_cache/iblock/9f5/140_140_0/9f5d68f7fb9114c366ae2c397b5333fc.png,,,,,,,"{""Размер:"": {""Ширина:"": ""740 мм"", ""Высота:"": ""1160-1260 мм"", ""Глубина:"": ""780 мм"", ""Нагрузка:"": ""до 120 кг"", ""Каркас:"": ""Немонолитный"", ""Ширина упаковки:"": ""780 мм"", ""Высота упаковки:"": ""670 мм"", ""Глубина упаковки:"": ""390 мм"", ""Вес брутто:"": ""17 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,22 м.куб""}, ""Размер упаковки:"": {""Ширина упаковки:"": ""780 мм"", ""Высота упаковки:"": ""670 мм"", ""Глубина упаковки:"": ""390 мм"", ""Вес брутто:"": ""17 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,22 м.куб""}}",,"{""Price"": """", ""Availability"": ""OutOfStock""}",https://utfc.ru/catalog/boss_chairs/roys_m_704/
Кресло М-703 Веста/Vesta dark grey PL S-0422 (серый),,vesta_m_703_dark_grey_pl,https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/709/709b84c2f9ada1261407156fb09d5001.webp; https://utfc.ru/upload/resize_cache/iblock/709/140_140_0/709b84c2f9ada1261407156fb09d5001.png; https://utfc.ru/upload/resize_cache/iblock/ea6/140_140_0/ea6744f28a0cefabfb9eeb5079d92210.png; https://utfc.ru/upload/resize_cache/iblock/53b/140_140_0/53bda145ba3bbc3c0078bf8d6c2e6f7e.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/ea6/ea6744f28a0cefabfb9eeb5079d92210.webp; https://utfc.ru/upload/resize_cache/iblock/dec/140_140_0/decff2610ef8160660057636212073d5.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/dec/decff2610ef8160660057636212073d5.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/53b/53bda145ba3bbc3c0078bf8d6c2e6f7e.webp,,,,,,,"{""Размер:"": {""Ширина:"": ""800 мм"", ""Высота:"": ""1140-1240 мм"", ""Глубина:"": ""770 мм"", ""Нагрузка:"": ""до 120 кг"", ""Каркас:"": ""Немонолитный"", ""Ширина упаковки:"": ""750 мм"", ""Высота упаковки:"": ""655 мм"", ""Глубина упаковки:"": ""380 мм"", ""Вес брутто:"": ""18 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,20 м.куб""}, ""Размер упаковки:"": {""Ширина упаковки:"": ""750 мм"", ""Высота упаковки:"": ""655 мм"", ""Глубина упаковки:"": ""380 мм"", ""Вес брутто:"": ""18 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,20 м.куб""}}",,"{""Price"": """", ""Availability"": ""OutOfStock""}",https://utfc.ru/catalog/boss_chairs/vesta_m_703_dark_grey_pl/
Кресло СН-577 Рикс хром ХДП Ср S-0402 (белый),,riks_ch_hdp,https://utfc.ru/upload/resize_cache/iblock/45f/140_140_0/dam1ps0qc05lemkvwfptrki61han1jxq.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/e51/u39571ijc0umzhp84j9f140u3wt78l93.webp; https://utfc.ru/upload/resize_cache/iblock/559/140_140_0/dmvb2ee590gg9986bn621pcnylq1bkan.png; https://utfc.ru/upload/resize_cache/iblock/e51/140_140_0/u39571ijc0umzhp84j9f140u3wt78l93.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/749/ngv4nz450dwqxgojrab7txuexoyl2zwd.webp; https://utfc.ru/upload/resize_cache/iblock/749/140_140_0/ngv4nz450dwqxgojrab7txuexoyl2zwd.png; https://utfc.ru/upload/resize_cache/iblock/4de/140_140_0/g5mj33wbybt8nx8l7a8n3uzjd74tdvby.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/559/dmvb2ee590gg9986bn621pcnylq1bkan.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/4de/g5mj33wbybt8nx8l7a8n3uzjd74tdvby.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/45f/dam1ps0qc05lemkvwfptrki61han1jxq.webp,,,,,,,"{""Размер:"": {""Ширина:"": ""650 мм"", ""Высота:"": ""1110-1210 мм"", ""Глубина:"": ""620 мм"", ""Нагрузка:"": ""до 180 кг"", ""Каркас:"": ""Немонолитный"", ""Ширина упаковки:"": ""910 мм"", ""Высота упаковки:"": ""690 мм"", ""Глубина упаковки:"": ""270 мм"", ""Вес брутто:"": ""17,46 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,17 м.куб""}, ""Размер упаковки:"": {""Ширина упаковки:"": ""910 мм"", ""Высота упаковки:"": ""690 мм"", ""Глубина упаковки:"": ""270 мм"", ""Вес брутто:"": ""17,46 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,17 м.куб""}}",,"{""Price"": """", ""Availability"": ""OutOfStock""}",https://utfc.ru/catalog/boss_chairs/riks_ch_hdp/
Стул складной Компакт Люкс BL Moderno 11 (мокко),,kompakt_lux_bl,https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/1ed/lk9b6g75jbdu8apvyn14ysmga4w53eoc.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/cc0/x7tytylhxgnurajx9hfpqom33cnpqsji.webp; https://utfc.ru/upload/resize_cache/iblock/cc0/140_140_0/x7tytylhxgnurajx9hfpqom33cnpqsji.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/b41/puu0d36r1h3htnwzx4sqy4hz9fm2bqcs.webp; https://utfc.ru/upload/resize_cache/iblock/af0/140_140_0/pty7262bvbr8rtlat2zp0ibfaafj3zjw.png; https://utfc.ru/upload/resize_cache/iblock/b41/140_140_0/puu0d36r1h3htnwzx4sqy4hz9fm2bqcs.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/af0/pty7262bvbr8rtlat2zp0ibfaafj3zjw.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/3d6/l3mpwvmxccasknzikpibiq8pich151au.webp; https://utfc.ru/upload/resize_cache/iblock/1ed/140_140_0/lk9b6g75jbdu8apvyn14ysmga4w53eoc.png; https://utfc.ru/upload/resize_cache/iblock/3d6/140_140_0/l3mpwvmxccasknzikpibiq8pich151au.png,,,,,,,"{""Размер:"": {""Ширина:"": ""405 мм"", ""Высота:"": ""820 мм"", ""Глубина:"": ""500 мм"", ""Нагрузка:"": ""до 120 кг"", ""Каркас:"": ""Немонолитный"", ""Ширина упаковки:"": ""1045 мм"", ""Высота упаковки:"": ""500 мм"", ""Глубина упаковки:"": ""290 мм"", ""Вес брутто:"": ""5,46 кг"", ""Материал упаковки:"": ""Гофрокартон (1шт/уп или 4шт/уп)"", ""Объём:"": ""0,038 м.куб""}, ""Размер упаковки:"": {""Ширина упаковки:"": ""1045 мм"", ""Высота упаковки:"": ""500 мм"", ""Глубина упаковки:"": ""290 мм"", ""Вес брутто:"": ""5,46 кг"", ""Материал упаковки:"": ""Гофрокартон (1шт/уп или 4шт/уп)"", ""Объём:"": ""0,038 м.куб""}}",,"{""Price"": """", ""Availability"": ""OutOfStock""}",https://utfc.ru/catalog/pos_chair/kompakt_lux_bl/
Стул С-07 Шелл бежевый BL BOX2,,shell_bl,https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/540/8esc2yq7m31kfpmmevz1031d21otjvjm.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/5dd/790r199y2h8h25scb9rvn7po8juok3fk.webp; https://utfc.ru/upload/resize_cache/iblock/25c/140_140_0/l3ykqiqfle2tcx6bg8c5lkb10dv4eyws.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/25c/l3ykqiqfle2tcx6bg8c5lkb10dv4eyws.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/09d/baihrsbc4tgow32ot2ohoxnir87a6x41.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/7f1/k3dlcloupwm4nrpnoat09ld90u7c3eiv.webp; https://utfc.ru/upload/resize_cache/iblock/09d/140_140_0/baihrsbc4tgow32ot2ohoxnir87a6x41.png; https://utfc.ru/upload/resize_cache/iblock/7f1/140_140_0/k3dlcloupwm4nrpnoat09ld90u7c3eiv.png; https://utfc.ru/upload/resize_cache/iblock/5dd/140_140_0/790r199y2h8h25scb9rvn7po8juok3fk.png; https://utfc.ru/upload/resize_cache/iblock/540/140_140_0/8esc2yq7m31kfpmmevz1031d21otjvjm.png,,,,,,,"{""Размер:"": {""Ширина:"": ""460 мм"", ""Высота:"": ""840 мм"", ""Глубина:"": ""540 мм"", ""Нагрузка:"": ""до 120 кг"", ""Каркас:"": ""Монолитный"", ""Ширина упаковки:"": ""560 мм"", ""Высота упаковки:"": ""600 мм"", ""Глубина упаковки:"": ""500 мм"", ""Вес брутто:"": ""3,45-4,8 кг"", ""Материал упаковки:"": ""Гофрокартон (2шт/уп)"", ""Объём:"": ""0,035-0,09 м.куб""}, ""Размер упаковки:"": {""Ширина упаковки:"": ""560 мм"", ""Высота упаковки:"": ""600 мм"", ""Глубина упаковки:"": ""500 мм"", ""Вес брутто:"": ""3,45-4,8 кг"", ""Материал упаковки:"": ""Гофрокартон (2шт/уп)"", ""Объём:"": ""0,035-0,09 м.куб""}}",,"{""Price"": """", ""Availability"": ""OutOfStock""}",https://utfc.ru/catalog/pos_chair/shell_bl/
Стул складной Компакт Люкс GR Moderno 11 (мокко),,kompakt_lux_gr,https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/94b/23d53qrix9dge6k5w0bj8r5lqrznv3el.webp; https://utfc.ru/upload/resize_cache/iblock/94b/140_140_0/23d53qrix9dge6k5w0bj8r5lqrznv3el.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/7ab/np2pnyvfdalr48m6jt22iz12ytalbs1s.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/2a7/b8jw09o9tpp3zlvhlbesyhpclh2lculv.webp; https://utfc.ru/upload/resize_cache/iblock/843/140_140_0/j52nb6elc02hrpy7acc10wewl8tjggj9.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/843/j52nb6elc02hrpy7acc10wewl8tjggj9.webp; https://utfc.ru/upload/resize_cache/iblock/2a7/140_140_0/b8jw09o9tpp3zlvhlbesyhpclh2lculv.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/9e8/l6pfl7e2fimjwwnk7o5cpj25tu2c14rv.webp; https://utfc.ru/upload/resize_cache/iblock/9e8/140_140_0/l6pfl7e2fimjwwnk7o5cpj25tu2c14rv.png; https://utfc.ru/upload/resize_cache/iblock/7ab/140_140_0/np2pnyvfdalr48m6jt22iz12ytalbs1s.png,,,,,,,"{""Размер:"": {""Ширина:"": ""405 мм"", ""Высота:"": ""820 мм"", ""Глубина:"": ""500 мм"", ""Нагрузка:"": ""до 120 кг"", ""Каркас:"": ""Немонолитный"", ""Ширина упаковки:"": ""1045 мм"", ""Высота упаковки:"": ""500 мм"", ""Глубина упаковки:"": ""290 мм"", ""Вес брутто:"": ""5,46 кг"", ""Материал упаковки:"": ""Гофрокартон (1шт/уп или 4шт/уп)"", ""Объём:"": ""0,038 м.куб""}, ""Размер упаковки:"": {""Ширина упаковки:"": ""1045 мм"", ""Высота упаковки:"": ""500 мм"", ""Глубина упаковки:"": ""290 мм"", ""Вес брутто:"": ""5,46 кг"", ""Материал упаковки:"": ""Гофрокартон (1шт/уп или 4шт/уп)"", ""Объём:"": ""0,038 м.куб""}}",,"{""Price"": """", ""Availability"": ""OutOfStock""}",https://utfc.ru/catalog/pos_chair/kompakt_lux_gr/
Стул складной Компакт BL С39 (бежевый),,kompakt_bl,https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/1d0/y0qjkr0j41rzw4zvn8d2ntu0z7n8yjgu.webp; https://utfc.ru/upload/resize_cache/iblock/cc9/140_140_0/aibp1ho1gyyh1n1mpz1su8tnjkw74g38.png; https://utfc.ru/upload/resize_cache/iblock/675/140_140_0/28o69ibmytjelt5cj2ajfmj2jt0xi7df.png; https://utfc.ru/upload/resize_cache/iblock/1d0/140_140_0/y0qjkr0j41rzw4zvn8d2ntu0z7n8yjgu.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/cc9/aibp1ho1gyyh1n1mpz1su8tnjkw74g38.webp; https://utfc.ru/upload/resize_cache/iblock/019/140_140_0/qbo26ewke0nnujsznq13paxn1xgwmwgz.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/9c7/4gq4s6uin3u4v127ev5hcckgbdby1bso.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/019/qbo26ewke0nnujsznq13paxn1xgwmwgz.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/675/28o69ibmytjelt5cj2ajfmj2jt0xi7df.webp; https://utfc.ru/upload/resize_cache/iblock/9c7/140_140_0/4gq4s6uin3u4v127ev5hcckgbdby1bso.png,,,,,,,"{""Размер:"": {""Ширина:"": ""395 мм"", ""Высота:"": ""820 мм"", ""Глубина:"": ""500 мм"", ""Нагрузка:"": ""до 120 кг"", ""Каркас:"": ""Немонолитный"", ""Ширина упаковки:"": ""1045 мм"", ""Высота упаковки:"": ""500 мм"", ""Глубина упаковки:"": ""290 мм"", ""Вес брутто:"": ""5,44 кг"", ""Материал упаковки:"": ""Гофрокартон (1шт/уп или 4шт/уп)"", ""Объём:"": ""0,038 м.куб""}, ""Размер упаковки:"": {""Ширина упаковки:"": ""1045 мм"", ""Высота упаковки:"": ""500 мм"", ""Глубина упаковки:"": ""290 мм"", ""Вес брутто:"": ""5,44 кг"", ""Материал упаковки:"": ""Гофрокартон (1шт/уп или 4шт/уп)"", ""Объём:"": ""0,038 м.куб""}}",,"{""Price"": """", ""Availability"": ""OutOfStock""}",https://utfc.ru/catalog/pos_chair/kompakt_bl/
Стул Парма 4К BL Velutto 03 (бежевый),,parma_4k,https://utfc.ru/upload/resize_cache/iblock/428/140_140_0/m4gg7kcyrw6ct8oav8e7r0pe6rimuize.png; https://utfc.ru/upload/resize_cache/iblock/e7d/140_140_0/kg5s0z8ooavef3y0d7i8ewluv25y7a0b.png; https://utfc.ru/upload/resize_cache/iblock/092/140_140_0/7vhdcpkkp3l3a9wpols105l42s17tkx2.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/428/m4gg7kcyrw6ct8oav8e7r0pe6rimuize.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/092/7vhdcpkkp3l3a9wpols105l42s17tkx2.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/e7d/kg5s0z8ooavef3y0d7i8ewluv25y7a0b.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/3e0/6hgv2ibxnpmyelmew7whzo7f5ykg4juv.webp; https://utfc.ru/upload/resize_cache/iblock/f2b/140_140_0/bp3h2lwm0zxw96381q589thlq3gokeqs.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/f2b/bp3h2lwm0zxw96381q589thlq3gokeqs.webp; https://utfc.ru/upload/resize_cache/iblock/3e0/140_140_0/6hgv2ibxnpmyelmew7whzo7f5ykg4juv.png,,,,,,,"{""Размер:"": {""Ширина:"": ""540 мм"", ""Высота:"": ""830 мм"", ""Глубина:"": ""550 мм"", ""Нагрузка:"": ""до 120 кг"", ""Каркас:"": ""Монолитный"", ""Ширина упаковки:"": ""570 мм"", ""Высота упаковки:"": ""610 мм"", ""Глубина упаковки:"": ""510 мм"", ""Вес брутто:"": ""9,4 кг"", ""Материал упаковки:"": ""Гофрокартон (2шт/уп), стрейч-пленка (каркас)"", ""Объём:"": ""0,114 м.куб""}, ""Размер упаковки:"": {""Ширина упаковки:"": ""570 мм"", ""Высота упаковки:"": ""610 мм"", ""Глубина упаковки:"": ""510 мм"", ""Вес брутто:"": ""9,4 кг"", ""Материал упаковки:"": ""Гофрокартон (2шт/уп), стрейч-пленка (каркас)"", ""Объём:"": ""0,114 м.куб""}}",,"{""Price"": """", ""Availability"": ""OutOfStock""}",https://utfc.ru/catalog/pos_chair/parma_4k/
Стул Асти 4К BL Velutto 03 (бежевый),,asti_4k,https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/4a4/xyugl1m307mij5tvu93tms6mnp6n1y2u.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/3a7/7vf5x3vgwbytws1oo2uyuusxffrart2n.webp; https://utfc.ru/upload/resize_cache/iblock/726/140_140_0/il5i1x6gs6jxkznakg92v73nuj3zzj5k.png; https://utfc.ru/upload/resize_cache/iblock/41a/140_140_0/3dkoqwrkdo2eewhim3tc3gjebijkzw2u.png; https://utfc.ru/upload/resize_cache/iblock/cd4/140_140_0/d7r100trp2mkjnx516p8b7ouwra3vikq.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/41a/3dkoqwrkdo2eewhim3tc3gjebijkzw2u.webp; https://utfc.ru/upload/resize_cache/iblock/3a7/140_140_0/7vf5x3vgwbytws1oo2uyuusxffrart2n.png; https://utfc.ru/upload/resize_cache/iblock/4a4/140_140_0/xyugl1m307mij5tvu93tms6mnp6n1y2u.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/cd4/d7r100trp2mkjnx516p8b7ouwra3vikq.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/726/il5i1x6gs6jxkznakg92v73nuj3zzj5k.webp,,,,,,,"{""Размер:"": {""Ширина:"": ""540 мм"", ""Высота:"": ""810 мм"", ""Глубина:"": ""600 мм"", ""Нагрузка:"": ""до 120 кг"", ""Каркас:"": ""Немонолитный"", ""Ширина упаковки:"": ""570 мм"", ""Высота упаковки:"": ""610 мм"", ""Глубина упаковки:"": ""510 мм"", ""Вес брутто:"": ""8,75 кг"", ""Материал упаковки:"": ""Гофрокартон (2шт/уп), стрейч-пленка (каркас)"", ""Объём:"": ""0,114 м.куб""}, ""Размер упаковки:"": {""Ширина упаковки:"": ""570 мм"", ""Высота упаковки:"": ""610 мм"", ""Глубина упаковки:"": ""510 мм"", ""Вес брутто:"": ""8,75 кг"", ""Материал упаковки:"": ""Гофрокартон (2шт/уп), стрейч-пленка (каркас)"", ""Объём:"": ""0,114 м.куб""}}",,"{""Price"": """", ""Availability"": ""OutOfStock""}",https://utfc.ru/catalog/pos_chair/asti_4k/
Стул Чико СН 4L BOX2 Moderno 05 (терракот),,chiko_4l_ch,https://utfc.ru/upload/resize_cache/iblock/fb9/140_140_0/buko1ja4whqbojksqeuj4dvzhlwjxcrp.png; https://utfc.ru/upload/resize_cache/iblock/83c/140_140_0/oopd3u3i188phx31v0cn3znwol1rkp1j.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/60f/ijo2agvb7q6sddd27kijhrlfe4trwk7k.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/83c/oopd3u3i188phx31v0cn3znwol1rkp1j.webp; https://utfc.ru/upload/resize_cache/iblock/d92/140_140_0/h4h0k3jwv4t0l11vyqvyhllafgx6jhlj.png; https://utfc.ru/upload/resize_cache/iblock/999/140_140_0/e20xv9q87qm9iwwqw8iknzys0c5k1c33.png; https://utfc.ru/upload/resize_cache/iblock/60f/140_140_0/ijo2agvb7q6sddd27kijhrlfe4trwk7k.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/d92/h4h0k3jwv4t0l11vyqvyhllafgx6jhlj.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/fb9/buko1ja4whqbojksqeuj4dvzhlwjxcrp.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/999/e20xv9q87qm9iwwqw8iknzys0c5k1c33.webp,,,,,,,"{""Размер:"": {""Ширина:"": ""450 мм"", ""Высота:"": ""850 мм"", ""Глубина:"": ""580 мм"", ""Нагрузка:"": ""до 120 кг"", ""Каркас:"": ""Монолитный"", ""Ширина упаковки:"": ""610 мм"", ""Высота упаковки:"": ""510 мм"", ""Глубина упаковки:"": ""500 мм"", ""Вес брутто:"": ""7,95 кг"", ""Материал упаковки:"": ""Гофрокартон (2шт/уп), стрейч-пленка (каркас)"", ""Объём:"": ""0,155 м.куб""}, ""Размер упаковки:"": {""Ширина упаковки:"": ""610 мм"", ""Высота упаковки:"": ""510 мм"", ""Глубина упаковки:"": ""500 мм"", ""Вес брутто:"": ""7,95 кг"", ""Материал упаковки:"": ""Гофрокартон (2шт/уп), стрейч-пленка (каркас)"", ""Объём:"": ""0,155 м.куб""}}",,"{""Price"": """", ""Availability"": ""OutOfStock""}",https://utfc.ru/catalog/pos_chair/chiko_4l_ch/
