Название,Основание,Подлокотники,Газлифт,Механизм,Особенности,Ролики
Кресло UTFC Онтарио М-105 пластик/хром (черный),"Пятилучье хромированное М-105, диаметр 700мм","Подлокотники пластиковые М-105 со вставками ""под хром"" и мягкими накладками из искусственной кожи",Высококачественный газ-лифт 3 класса Germany DIN 4550,"Механизм качания позволяет регулировать высоту сиденья, жесткость отклонения и обеспечивает фиксацию наклона в 3-х положениях.",Увеличенная и мягкая зона поясничной поддержки,Полиуретановые ролики 60 мм
Кресло СН-303 Кайман Трио Н/п хром S-0422 (темно-серый),"Полозья металлические Нео 195х195, защитно-декоративное покрытие никель-хром, d=25х2 мм","Подлокотники для кресел ""Кайман"", нерегулируемые, хромированные",,,,
Кресло СН-301 Кайман Комфорт Н BL Ср S-0422 (темно-серый),"Пятилучье Арктика пластиковое с узкими лучами, d=660 мм","Подлокотники для кресел ""Кайман"", нерегулируемые, хромированные","Газ-лифт 2 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Топ-Ган Cayman — однопозиционный механизм качания Кайман позволяет регулировать высоту сиденья, обеспечивает режим свободного качания и фиксацию кресла в вертикальном положении",,"Пластиковые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло UTFC Канзас М-111 пластик/хром (черный),"Пятилучье хромированное М-111, диаметр 700мм","Подлокотники пластиковые М-111 со вставками ""под хром"" и мягкими накладками из искусственной кожи",Высококачественный газ-лифт 3 класса Germany DIN 4550,"Механизм качания позволяет регулировать высоту сиденья, жесткость отклонения и обеспечивает фиксацию наклона в любом положении.",Увеличенный мягкий подголовник и зона поясничной поддержки,Полиуретановые ролики 60 мм
Кресло UTFC Бремен М-123 алюминий (черный),"Пятилучье алюминиевое М-123, покрытие глянцевое, диаметр 700мм",Подлокотники алюминиевые М-123 с мягкими накладками из экокожи,Высококачественный газ-лифт 3 класса Germany DIN 4550,"Механизм качания позволяет регулировать высоту сиденья, жесткость отклонения и обеспечивает фиксацию наклона в 4-х положениях.",Боковая поддержка спины благодаря дополнительным выступающим элементам спинки.,Полиуретановые ролики 60 мм
Кресло СН-303 Кайман Трио Н/п BL S-0422 (темно-серый),"Полозья металлические Нео, защитно-декоративное порошковое покрытие черного цвета, d=25х2 мм","Подлокотники для кресел ""Кайман"", нерегулируемые, хромированные",,,,
Кресло СН-303 Кайман Трио В soft2 хром Ср S-0422 (темно-серый),Пятилучье хромированное d=700 мм,Нерегулируемые хромированные подлокотники для кресла Кайман с двойной накладкой,"Газ-лифт хромированный 3 класса по стандарту Germany DIN 4550, h=230 мм","Топ-Ган Cayman — однопозиционный механизм качания Кайман позволяет регулировать высоту сиденья, обеспечивает режим свободного качания и фиксацию кресла в вертикальном положении",,"Пластиковые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло СН-303 Кайман Трио В BL Ср S-0422 (темно-серый),"Пятилучье Арктика пластиковое с узкими лучами, d=660 мм","Подлокотники для кресел ""Кайман"", нерегулируемые, хромированные","Газ-лифт 2 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Топ-Ган Cayman — однопозиционный механизм качания Кайман позволяет регулировать высоту сиденья, обеспечивает режим свободного качания и фиксацию кресла в вертикальном положении",,"Пластиковые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло СН-277 Бостон В пластик 727 С73 (серый),Пятилучье пластиковое d=660 мм,Подлокотники пластиковые используются на все ДК в исполнении Пластик 727,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло СН-301 Кайман Комфорт В BL Ср S-0422 (темно-серый),"Пятилучье Арктика пластиковое с узкими лучами, d=660 мм","Подлокотники для кресел ""Кайман"", нерегулируемые, хромированные","Газ-лифт 2 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Топ-Ган Cayman — однопозиционный механизм качания Кайман позволяет регулировать высоту сиденья, обеспечивает режим свободного качания и фиксацию кресла в вертикальном положении",,"Пластиковые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло Пилот Н пластик-люкс 727 S-0401 (черный),Пятилучье пластиковое d=660 мм,Подлокотники пластиковые с декоративными мягкими вставками используются на все ДК в исполнении Пластик-люкс 727,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло Орион Н/п пластик S-0401 (черный),"Металлические, защитно-декоративное порошковое покрытие черного цвета (BL)",Подлокотники пластиковые «Сенатор» используются на все ДК в исполнении Пластик,,,,
Кресло Премьер В пластик-люкс 727 S-0401 (черный),Пятилучье пластиковое d=660 мм,Подлокотники пластиковые с декоративными мягкими вставками используются на все ДК в исполнении Пластик-люкс 727,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло Альтаир В пластик 727 Е72-к (серый),Пятилучье пластиковое d=660 мм,Подлокотники пластиковые используются на все ДК в исполнении Пластик 727,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло Пилот Н/п пластик-люкс 727 S-0401 (черный),"Металлические, защитно-декоративное порошковое покрытие черного цвета (BL)",Подлокотники пластиковые с декоративными мягкими вставками используются на все ДК в исполнении Пластик-люкс 727,,,,
Кресло Пилот Н пластик Z06 (синий),Пятилучье пластиковое d=660 мм,Подлокотники пластиковые «Сенатор» используются на все ДК в исполнении Пластик,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло Пилот В пластик-люкс 727 S-0401 (черный),Пятилучье пластиковое d=660 мм,Подлокотники пластиковые с декоративными мягкими вставками используются на все ДК в исполнении Пластик-люкс 727,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Каталог офисных кресел,,,,,,
Кресло К-11 Фест Н пластик Moderno 05 (терракот),Пятилучье пластиковое d=630 мм,Подлокотники пластиковые «Сенатор» используются на все ДК в исполнении Пластик,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло Пилот Н/п пластик S-0401 (черный),"Металлические, защитно-декоративное порошковое покрытие черного цвета (BL)",Подлокотники пластиковые «Сенатор» используются на все ДК в исполнении Пластик,,,,
Кресло Орион Н/п дерево Д8 (темный орех) S-0401 (черный),Деревянные полозья с тонировкой,,,,,
Кресло Эльф Н пластик 727 Z11 (черный),Пятилучье пластиковое d=660 мм,Подлокотники пластиковые используются на все ДК в исполнении Пластик 727,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло Орион Н/п хром S-0401 (черный),"Металлические, защитно-декоративное покрытие никель-хром (CH)",Подлокотники «Айрон-хром» с декоративными мягкими накладками,,,,
Кресло Премьер В пластик 727 S-0401 (черный),Пятилучье пластиковое d=660 мм,Подлокотники пластиковые используются на все ДК в исполнении Пластик 727,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло Эльф В пластик 727 Z01 (белый),Пятилучье пластиковое d=660 мм,Подлокотники пластиковые используются на все ДК в исполнении Пластик 727,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло Пилот В пластик S-0401 (черный),Пятилучье пластиковое d=660 мм,Подлокотники пластиковые «Сенатор» используются на все ДК в исполнении Пластик,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло СН-300 Кайман Н/п хром СК11 (черный),"Полозья металлические Нео 195х195, защитно-декоративное покрытие никель-хром, d=25х2 мм","Подлокотники для кресел ""Кайман"", нерегулируемые, хромированные",,,,
Кресло СН-300 Кайман В BL Ср Moderno 11 (мокко),"Пятилучье Арктика пластиковое с узкими лучами, d=660 мм","Подлокотники для кресел ""Кайман"", нерегулируемые, хромированные","Газ-лифт 2 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Топ-Ган Cayman — однопозиционный механизм качания Кайман позволяет регулировать высоту сиденья, обеспечивает режим свободного качания и фиксацию кресла в вертикальном положении",,"Пластиковые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло СН-301 Кайман Комфорт В хром МБ Ср S-0422 (темно-серый),Пятилучье хромированное d=700 мм,"Подлокотники для кресел ""Кайман"", нерегулируемые, хромированные",Газ-лифт суперкороткий хром,МБ — мультиблок — механизм качания с регулировкой под вес пользователя и фиксацией в вертикальном положении спинки и отклонении ее назад в 5 положениях. Жесткость хода свободного отклонения спинки назад регулируется пружинным блоком,,"Пластиковые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло СН-300 Кайман В хром МБ Ср S-0422 (темно-серый),Пятилучье хромированное d=700 мм,"Подлокотники для кресел ""Кайман"", нерегулируемые, хромированные",Газ-лифт суперкороткий хром,МБ — мультиблок — механизм качания с регулировкой под вес пользователя и фиксацией в вертикальном положении спинки и отклонении ее назад в 5 положениях. Жесткость хода свободного отклонения спинки назад регулируется пружинным блоком,,"Пластиковые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло СН-301 Кайман Комфорт Н хром Ср S-0401 (черный),Пятилучье хромированное d=640 мм,"Подлокотники для кресел ""Кайман"", нерегулируемые, хромированные","Газ-лифт хромированный 3 класса по стандарту Germany DIN 4550, h=230 мм","Топ-Ган Cayman — однопозиционный механизм качания Кайман позволяет регулировать высоту сиденья, обеспечивает режим свободного качания и фиксацию кресла в вертикальном положении",,"Пластиковые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло СН-303 Кайман Трио В хром МБ Ср S-0422 (темно-серый),Пятилучье хромированное d=700 мм,"Подлокотники для кресел ""Кайман"", нерегулируемые, хромированные",Газ-лифт суперкороткий хром,МБ — мультиблок — механизм качания с регулировкой под вес пользователя и фиксацией в вертикальном положении спинки и отклонении ее назад в 5 положениях. Жесткость хода свободного отклонения спинки назад регулируется пружинным блоком,,"Пластиковые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Каталог офисных кресел,,,,,,
Кресло СН-300 Кайман Н BL Ср Moderno 11 (мокко),"Пятилучье Арктика пластиковое с узкими лучами, d=660 мм","Подлокотники для кресел ""Кайман"", нерегулируемые, хромированные","Газ-лифт 2 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Топ-Ган Cayman — однопозиционный механизм качания Кайман позволяет регулировать высоту сиденья, обеспечивает режим свободного качания и фиксацию кресла в вертикальном положении",,"Пластиковые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло СН-601 Соло пластик SoloBL Ср S-0422 (темно-серый),"Пятилучье Арктика пластиковое с узкими лучами, d=660 мм",Подлокотники крашеные с мягкими накладками,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло СН-301 Кайман Комфорт Н/п хром S-0422 (темно-серый),"Полозья металлические Нео 195х195, защитно-декоративное покрытие никель-хром, d=25х2 мм","Подлокотники для кресел ""Кайман"", нерегулируемые, хромированные",,,,
Кресло СН-300 Кайман В soft хром Ср TF21 (бежевый),Пятилучье хромированное d=700 мм,"Подлокотники для кресел ""Кайман"", нерегулируемые, хромированные","Газ-лифт хромированный 3 класса по стандарту Germany DIN 4550, h=230 мм","Топ-Ган Cayman — однопозиционный механизм качания Кайман позволяет регулировать высоту сиденья, обеспечивает режим свободного качания и фиксацию кресла в вертикальном положении",,"Пластиковые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло СН-301 Кайман Комфорт В хром Ср S-0422 (темно-серый),Пятилучье хромированное d=700 мм,"Подлокотники для кресел ""Кайман"", нерегулируемые, хромированные","Газ-лифт хромированный 3 класса по стандарту Germany DIN 4550, h=230 мм","Топ-Ган Cayman — однопозиционный механизм качания Кайман позволяет регулировать высоту сиденья, обеспечивает режим свободного качания и фиксацию кресла в вертикальном положении",,"Пластиковые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло СН-710 Айкью Ср S-0428 (бежевый),"Пятилучье Арктика пластиковое с узкими лучами, d=660 мм",Нерегулируемые черные пластиковые подлокотники для кресла АйКью,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло СН-300 Кайман Н хром Ср TF72 (темно-серый),Пятилучье хромированное d=640 мм,"Подлокотники для кресел ""Кайман"", нерегулируемые, хромированные","Газ-лифт хромированный 3 класса по стандарту Germany DIN 4550, h=230 мм","Топ-Ган Cayman — однопозиционный механизм качания Кайман позволяет регулировать высоту сиденья, обеспечивает режим свободного качания и фиксацию кресла в вертикальном положении",,"Пластиковые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло СН-300 Кайман Н/п BL Moderno 11 (мокко),"Полозья металлические Нео, защитно-декоративное порошковое покрытие черного цвета, d=25х2 мм","Подлокотники для кресел ""Кайман"", нерегулируемые, хромированные",,,,
Кресло СН-601 Соло хром SoloСН Ср S-0426 (светло-коричневый),Пятилучье хромированное d=700 мм,Подлокотники хромированные с мягкими накладками,"Газ-лифт хромированный 3 класса по стандарту Germany DIN 4550, h=230 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло М-703 Веста/Vesta dark grey PL S-0422 (серый),Пятилучье с пластиковыми вставками Веста,Нерегулируемые подлокотники для кресла Веста,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",Дополнительная вкладка из текстиля ТW в зоне коленей и подголовника,"Пластиковые ролики с полиуретановым покрытием Ср, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло М-704 Ройс/Royce silver PL S-0401 (черный),Пятилучье пластиковое для кресел Ройс,Нерегулируемые подлокотники для кресла Ройс,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",Тиснение кожи термоклешированием,"Пластиковые ролики с полиуретановым покрытием Ср, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло СН-710 Айкью Н/п BL QH21-1325 (серый),"Полозья металлические Нео, защитно-декоративное порошковое покрытие черного цвета, d=25х2 мм",Нерегулируемые черные пластиковые подлокотники для кресла АйКью,,,,
Кресло СН-710 Айкью Н Ср S-0419 (темно-синий),"Пятилучье Арктика пластиковое с узкими лучами, d=660 мм",Нерегулируемые черные пластиковые подлокотники для кресла АйКью,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики с полиуретановым покрытием Ср, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло СН-707 Бруно В хром ХДП Ср S-0402/Е01-к (белый),Пятилучье хромированное d=700 мм,Подлокотники ХДП — 3-D хромированные подлокотники с мягкой накладкой,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики с полиуретановым покрытием Ср, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло СН-701 Куба В хром ХДП Ср S-0422 (темно-серый),Пятилучье хромированное d=700 мм,Подлокотники ХДП — 3-D хромированные подлокотники с мягкой накладкой,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики с полиуретановым покрытием Ср, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло К-10 Верона В дерево D8 (темный орех) МБ S-0422 (темно-серый),Пятилучье с деревянными накладками d=720 мм,Подлокотники деревянные используются на все ДК в исполнении Дерево,Газ-лифт суперкороткий черный,МБ — мультиблок — механизм качания с регулировкой под вес пользователя и фиксацией в вертикальном положении спинки и отклонении ее назад в 5 положениях. Жесткость хода свободного отклонения спинки назад регулируется пружинным блоком,,"Пластиковые ролики, закрытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло СН-577 Рикс хром ХДП Ср S-0402 (белый),Пятилучье хромированное d=700 мм,Подлокотники ХДП — 3-D хромированные подлокотники с мягкой накладкой,"Газ-лифт хромированный 3 класса по стандарту Germany DIN 4550, h=230 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Каталог офисных кресел,,,,,,
Кресло К-10 Верона В хром МБ S-0422 (темно-серый),Пятилучье хромированное d=700 мм,Подлокотники «Айрон-хром» с декоративными мягкими накладками,Газ-лифт суперкороткий черный,МБ — мультиблок — механизм качания с регулировкой под вес пользователя и фиксацией в вертикальном положении спинки и отклонении ее назад в 5 положениях. Жесткость хода свободного отклонения спинки назад регулируется пружинным блоком,,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло К-10 Верона В дерево D8 (темный орех) К01 (черный),Пятилучье с деревянными накладками d=720 мм,Подлокотники деревянные используются на все ДК в исполнении Дерево,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики, закрытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло К-10 Верона В хром Z11 (черный),Пятилучье хромированное d=700 мм,Подлокотники «Айрон-хром» с декоративными мягкими накладками,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло К-10 Верона Н/п дерево D8 (темный орех) S-0422 (темно-серый),Деревянные полозья с тонировкой,,,,,
Кресло К-10 Верона Н/п хром S-0428 (бежевый),"Металлические, защитно-декоративное покрытие никель-хром (CH)",Подлокотники «Айрон-хром» с декоративными мягкими накладками,,,,
Кресло СН-710 Айкью Н/п CH S-0422 (темно-серый),"Полозья металлические Нео, защитно-декоративное покрытие никель-хром, d=25х2 мм",Нерегулируемые черные пластиковые подлокотники для кресла АйКью,,,,
Кресло СН-708 Ровер Хэви Дьюти МБ S-0401 (черный),"Пятилучье металлическое d=740, усиленное, черное для кресла Ровер",Подлокотники металлические с накладкой из экокожи для кресла Ровердля кресла Ровер,Газ-лифт суперкороткий черный,МБ — мультиблок — механизм качания с регулировкой под вес пользователя и фиксацией в вертикальном положении спинки и отклонении ее назад в 5 положениях. Жесткость хода свободного отклонения спинки назад регулируется пружинным блоком,,"Ролики п/у, открытый чехол, d колеса 60 мм, d штока 11 мм черные усиленные для кресла Ровер"
Кресло М-903 Софт Люкс хром Ср Moderno 11 (мокко),Пятилучье хромированное d=640 мм,Т-образные регулируемые по высоте пластиковые подлокотники с мягкими накладками,"Газ-лифт хромированный 3 класса по стандарту Germany DIN 4550, h=230 мм","Топ-Ган с синхроплатой — механизм качания с синхроплатой обеспечивает регулировку высоты сиденья, регулировку силы отклонения спинки под вес пользователя и фиксацию спинки в рабочем положении",,"Пластиковые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло СН-277 Бостон Хэви Дьюти МБ S-0401 (черный),Пятилучье хромированное d=700 мм,Подлокотник Айс хром,"Газ-лифт хромированный 3 класса по стандарту Germany DIN 4550, h=230 мм",МБ — мультиблок — механизм качания с регулировкой под вес пользователя и фиксацией в вертикальном положении спинки и отклонении ее назад в 5 положениях. Жесткость хода свободного отклонения спинки назад регулируется пружинным блоком,,"Пластиковые ролики с полиуретановым покрытием Ср, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло Атлант В/п пластик-люкс 727 S-0422 (темно-серый),"Металлические, защитно-декоративное порошковое покрытие черного цвета (BL)",Подлокотники пластиковые с декоративными мягкими вставками используются на все ДК в исполнении Пластик-люкс 727,,,,
Каталог офисных кресел,,,,,,
Кресло М-903 Софт Ср Moderno 02 (серый),"Пятилучье Арктика пластиковое с узкими лучами, d=660 мм",Т-образные нерегулируемые пластиковые подлокотники СН-501 левый и правый для Стэнфорда,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло М-903 Софт хром Ср Moderno 02 (серый),Пятилучье хромированное d=640 мм,Т-образные регулируемые по высоте пластиковые подлокотники с мягкими накладками,"Газ-лифт хромированный 3 класса по стандарту Germany DIN 4550, h=230 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
